aX,aY,aZ,gX,gY,gZ
0.985,0.455,-0.025,1.648,0.854,2.380
0.949,0.436,0.033,-3.601,-8.423,-7.812
0.927,0.417,0.099,-9.216,-14.771,-16.479
0.902,0.378,0.142,-11.597,-18.677,-21.973
0.881,0.331,0.187,-12.146,-19.592,-22.583
0.880,0.291,0.230,-12.817,-15.259,-18.005
0.886,0.268,0.253,-10.803,-6.714,-10.254
0.892,0.276,0.243,-5.249,3.052,-2.441
0.905,0.307,0.191,1.343,10.559,4.395
0.935,0.342,0.134,6.592,12.146,8.606
0.964,0.395,0.095,8.728,9.338,8.850
0.985,0.408,0.073,7.385,5.066,4.944
0.994,0.393,0.072,4.333,0.427,-0.305
0.984,0.387,0.102,0.549,-2.136,-4.089
0.970,0.348,0.123,-1.709,-2.136,-6.409
0.962,0.322,0.138,-1.282,-1.892,-7.202
0.954,0.306,0.149,0.793,-0.122,-4.944
0.962,0.311,0.150,3.296,3.845,-2.197
0.977,0.315,0.136,6.226,6.592,0.671
0.985,0.330,0.127,10.010,5.981,1.099
0.972,0.348,0.092,14.038,3.174,0.000
0.988,0.362,0.070,15.991,-1.587,-1.648
1.001,0.379,0.057,15.198,-5.676,-3.723
0.988,0.374,0.054,12.878,-7.996,-6.042
0.947,0.370,0.066,8.484,-7.996,-6.836
0.931,0.353,0.109,2.808,-6.714,-4.517
0.942,0.304,0.171,-0.305,-6.653,-0.427
0.936,0.270,0.229,-0.061,-6.653,0.854
0.925,0.221,0.258,5.188,-6.653,0.000
0.922,0.194,0.255,12.878,-7.690,-1.648
0.932,0.192,0.237,21.057,-10.132,-3.174
0.958,0.210,0.222,26.855,-12.878,-4.456
0.963,0.244,0.204,29.602,-13.306,-6.348
0.975,0.257,0.168,29.541,-11.963,-7.324
0.959,0.297,0.136,24.719,-9.827,-6.653
0.974,0.299,0.117,17.395,-6.165,-4.700
0.972,0.305,0.141,6.897,-1.404,-3.784
0.944,0.282,0.177,-0.549,4.150,-2.930
0.917,0.245,0.189,-1.892,6.958,-3.479
0.887,0.229,0.199,1.343,7.141,-4.089
0.878,0.207,0.190,7.629,5.310,-4.333
0.872,0.198,0.170,14.709,1.221,-4.700
0.874,0.201,0.141,20.996,-2.075,-5.005
0.872,0.215,0.116,24.109,-4.517,-4.700
0.884,0.240,0.099,23.926,-6.165,-4.211
0.893,0.283,0.076,19.897,-5.859,-3.052
0.934,0.312,0.088,12.146,-3.723,-0.488
0.951,0.337,0.096,3.784,-0.732,1.160
0.946,0.335,0.124,-3.662,2.747,0.427
0.931,0.323,0.157,-8.118,4.028,-1.770
0.930,0.303,0.193,-7.996,1.953,-4.578
0.920,0.272,0.213,-3.784,-1.648,-7.507
0.917,0.245,0.234,1.526,-3.845,-9.949

1.523,-0.904,-0.583,14.221,-1.160,11.047
1.643,-1.035,-0.803,19.958,4.028,12.268
1.775,-1.235,-1.081,26.367,4.944,13.611
1.814,-1.483,-1.405,29.053,3.540,9.094
1.792,-1.756,-1.625,22.583,-1.160,0.610
1.662,-1.961,-1.707,10.986,-10.986,-5.859
1.431,-2.082,-1.666,5.371,-23.499,-8.911
1.109,-2.155,-1.601,8.240,-38.147,-7.141
0.804,-2.182,-1.501,13.489,-53.955,5.554
0.508,-2.058,-1.397,17.700,-66.284,30.701
0.239,-1.863,-1.302,25.818,-72.937,68.726
-0.013,-1.569,-1.202,37.231,-72.937,116.333
-0.193,-1.134,-1.121,51.147,-72.815,169.617
0.065,-0.522,-0.994,62.866,-75.867,216.919
0.526,0.164,-0.752,63.538,-65.796,227.905
0.762,0.841,-0.493,47.119,-43.457,186.035
0.421,1.426,-0.308,9.399,-13.794,112.366
-0.093,1.753,-0.024,-49.011,19.409,52.551
-0.681,2.178,0.246,-104.919,33.752,36.255
-0.876,2.419,0.556,-153.381,5.859,60.242
-0.606,2.713,1.403,-219.604,-55.359,106.628
-0.229,2.937,2.245,-246.521,-91.553,152.100
0.321,3.045,2.733,-209.351,-87.158,190.674
0.966,3.102,2.801,-135.376,-64.209,231.323
1.463,2.905,2.537,-49.744,-40.466,245.056
1.961,2.479,2.062,18.921,-38.940,201.355
2.238,1.854,1.629,40.955,-65.125,86.914
2.062,1.299,1.457,21.790,-109.863,-67.505
1.573,0.822,1.535,-7.019,-153.320,-206.055
0.920,0.499,1.641,-20.386,-156.799,-280.518
0.422,0.109,1.489,-14.465,-121.277,-281.677
0.005,-0.155,1.100,5.615,-63.843,-225.647
-0.218,-0.231,0.705,20.081,-2.441,-143.311
-0.293,-0.108,0.377,23.315,48.218,-57.861
-0.217,0.048,0.081,27.161,81.909,18.860
-0.052,0.245,-0.139,34.668,97.168,78.552
0.189,0.445,-0.336,44.800,93.384,114.380
0.520,0.691,-0.479,50.964,81.909,127.319
0.866,0.869,-0.569,41.992,75.623,120.911
1.144,0.954,-0.483,14.038,70.679,97.351
1.256,0.926,-0.262,-16.602,61.584,60.364
1.225,0.816,-0.041,-32.715,46.875,17.578
1.136,0.679,0.080,-27.222,25.879,-20.935
1.055,0.554,0.144,-12.024,1.160,-50.110
0.941,0.464,0.152,-0.183,-16.418,-68.909
0.795,0.359,0.080,6.836,-21.790,-74.707
0.767,0.267,0.083,4.578,-22.278,-66.833
0.767,0.219,0.123,-2.380,-19.043,-52.368
0.774,0.209,0.150,-6.653,-9.644,-36.865
0.807,0.215,0.147,-9.033,-0.793,-21.362
0.858,0.243,0.147,-12.146,5.432,-9.155
0.902,0.296,0.167,-15.442,9.277,-3.113
0.924,0.314,0.169,-17.029,12.085,-1.770
0.943,0.303,0.157,-14.465,14.160,-3.601
0.904,0.293,0.135,-8.057,14.526,-7.080
0.868,0.242,0.083,0.427,12.207,-9.766
0.839,0.220,0.059,6.714,9.277,-9.766
0.822,0.234,0.056,9.827,8.301,-5.737
0.831,0.271,0.048,11.658,10.742,1.404
0.861,0.302,0.015,13.855,13.306,11.963
0.931,0.351,0.013,12.878,14.587,20.508
0.988,0.377,0.009,10.132,14.343,24.353
1.039,0.388,0.000,8.057,11.963,21.667
1.053,0.393,-0.003,5.859,7.629,13.611
1.011,0.382,0.001,2.808,1.953,3.113
0.953,0.360,0.004,0.732,-3.113,-4.944
0.904,0.333,0.023,-1.648,-5.615,-8.972
0.866,0.305,0.055,-4.517,-6.348,-9.766
0.841,0.278,0.082,-5.493,-5.371,-7.507
0.852,0.251,0.106,-4.578,-3.479,-3.174
0.884,0.254,0.119,-3.052,-1.892,1.648
0.920,0.254,0.118,-0.793,-0.366,4.150
0.944,0.263,0.113,0.305,0.122,4.883
0.945,0.276,0.088,0.977,0.427,5.066
0.948,0.282,0.055,0.244,1.892,5.615
0.954,0.304,0.045,-3.540,4.761,6.653
0.933,0.325,0.049,-9.033,7.812,7.935
0.921,0.332,0.061,-13.184,10.437,9.399
0.921,0.338,0.077,-14.954,12.695,10.254
0.925,0.329,0.083,-12.573,9.583,8.545
0.939,0.312,0.084,-7.568,2.319,4.272
0.957,0.306,0.086,-2.380,-1.953,-0.244
0.962,0.288,0.096,0.793,-5.005,-3.845
0.958,0.272,0.098,2.563,-6.165,-5.737
0.955,0.269,0.083,4.028,-4.883,-5.432
0.949,0.287,0.068,4.333,-2.686,-3.113
0.948,0.305,0.036,2.869,-0.305,0.793
0.965,0.327,0.016,-0.366,2.502,5.188
0.981,0.349,0.029,-3.906,3.967,7.385
0.984,0.344,0.029,-6.409,3.967,5.798
0.983,0.330,0.038,-6.714,1.465,2.502
0.981,0.320,0.051,-6.226,-2.319,-1.648
0.980,0.299,0.069,-4.944,-4.883,-4.761
0.972,0.278,0.100,-3.601,-6.653,-6.897
0.966,0.264,0.138,-1.587,-7.690,-7.874
0.966,0.246,0.151,2.563,-6.653,-7.996
0.962,0.243,0.139,7.812,-2.563,-7.202
0.960,0.248,0.129,10.620,0.793,-5.798
0.948,0.260,0.110,12.024,3.357,-4.456
0.946,0.267,0.084,12.024,5.493,-3.540
0.941,0.270,0.060,9.766,3.662,-2.319
0.944,0.286,0.043,4.639,0.977,-1.953
0.949,0.293,0.047,1.099,-2.014,-2.136
0.958,0.300,0.051,-0.061,-5.066,-3.296
0.953,0.297,0.064,-0.793,-8.362,-4.211
0.935,0.279,0.081,-2.014,-9.583,-5.798
0.938,0.261,0.110,-3.296,-9.827,-7.080
0.948,0.234,0.122,-2.319,-9.094,-6.775
0.961,0.239,0.135,-0.183,-5.920,-5.554
0.966,0.246,0.120,2.075,-2.258,-3.723
0.944,0.274,0.064,2.380,0.000,-1.526
0.969,0.288,0.035,-0.793,-0.305,1.282
0.996,0.301,0.049,-5.676,-2.197,2.136
0.988,0.315,0.078,-9.949,-3.235,-0.427
0.965,0.305,0.111,-10.742,-4.089,-3.540
0.954,0.275,0.126,-8.240,-5.981,-5.798
0.942,0.252,0.141,-5.188,-8.545,-8.545
0.940,0.231,0.162,-2.258,-9.827,-10.498
0.938,0.224,0.180,0.671,-9.216,-11.108

1.501,-0.999,-0.537,-3.540,-3.662,0.061
1.547,-1.161,-0.691,0.732,-2.380,-1.465
1.606,-1.421,-0.877,7.263,1.709,-5.127
1.579,-1.732,-1.080,12.329,3.540,-12.390
1.556,-2.029,-1.182,11.841,1.526,-20.935
1.463,-2.243,-1.197,8.423,-2.808,-27.405
1.312,-2.410,-1.238,10.071,-4.150,-28.992
1.143,-2.504,-1.274,12.451,-4.211,-19.043
0.928,-2.408,-1.287,13.733,-5.920,4.150
0.698,-2.271,-1.222,18.005,-9.583,34.485
0.492,-2.201,-1.207,28.259,-12.817,67.444
0.248,-2.009,-1.197,45.410,-16.968,105.225
-0.042,-1.721,-1.190,65.369,-23.499,145.386
-0.348,-1.373,-1.290,82.825,-33.691,187.134
-0.511,-0.899,-1.288,88.379,-51.208,231.628
-0.396,-0.178,-1.195,88.257,-73.425,267.761
0.123,0.740,-1.118,78.796,-82.886,270.569
0.441,1.519,-0.872,36.987,-72.937,218.750
0.064,1.958,-0.313,-43.396,-52.063,128.479
-0.684,2.232,0.440,-124.023,-43.396,52.734
-0.947,2.479,1.157,-169.800,-56.458,33.508
-0.915,2.744,1.815,-171.509,-77.637,60.547
-0.581,2.864,2.168,-146.851,-106.384,103.699
-0.008,3.104,2.477,-128.540,-122.131,158.447
0.619,3.280,2.606,-108.337,-92.651,221.313
1.045,3.101,2.432,-81.482,-33.569,262.085
1.417,2.578,2.105,-59.021,-4.150,253.845
1.956,1.871,1.813,-46.936,-22.705,182.922
2.054,1.149,1.855,-37.659,-71.228,56.763
1.856,0.651,1.955,-21.667,-121.948,-86.060
1.490,0.377,2.041,4.211,-146.729,-193.481
0.984,0.204,1.823,45.166,-123.962,-231.140
0.483,0.171,1.301,85.632,-68.848,-202.332
0.203,0.261,0.679,106.140,-7.080,-136.047
0.071,0.431,0.208,99.426,41.687,-63.232
-0.013,0.528,-0.192,82.458,73.181,-2.869
0.047,0.591,-0.523,60.242,83.374,39.246
0.188,0.714,-0.632,33.508,70.374,62.378
0.448,0.911,-0.562,8.667,50.720,68.970
0.730,0.989,-0.386,-12.207,47.485,63.599
0.904,0.874,-0.158,-32.776,55.725,45.593
0.954,0.708,0.051,-42.053,51.331,20.508
0.966,0.547,0.150,-29.114,31.067,-6.775
0.940,0.448,0.150,-4.272,6.836,-31.006
0.895,0.451,0.165,10.559,-10.498,-44.250
0.841,0.463,0.136,14.587,-13.672,-43.884
0.832,0.439,0.080,12.024,-5.127,-33.447
0.870,0.427,0.057,1.404,3.784,-17.700
0.931,0.391,0.040,-12.512,10.742,-5.737
0.990,0.392,0.044,-24.719,16.357,-0.671
0.995,0.405,0.054,-35.034,19.714,-0.366
0.977,0.421,0.096,-42.236,18.738,-5.432
0.924,0.395,0.151,-38.940,16.052,-14.709
0.858,0.363,0.150,-27.100,13.367,-24.353
