aX,aY,aZ,gX,gY,gZ
-0.115,0.561,0.625,10.864,-2.380,-28.320
-0.144,0.554,0.602,10.376,0.305,-20.752
-0.140,0.573,0.602,6.226,3.052,-10.864
-0.112,0.613,0.608,0.916,4.272,-2.075
-0.083,0.645,0.628,-2.930,5.737,4.089
-0.042,0.695,0.651,-5.127,6.836,7.019
0.010,0.750,0.654,-5.615,8.484,5.432
0.025,0.773,0.649,-6.104,7.935,-0.061

1.056,0.650,0.935,-4.944,-12.512,1.648
1.200,0.607,0.997,-7.629,-13.123,6.531
1.325,0.613,1.135,-10.254,-14.709,12.878
1.416,0.754,1.322,-8.850,-13.916,18.982
1.536,1.034,1.463,-0.427,-6.714,24.719
1.617,1.307,1.524,4.150,6.836,25.452
1.667,1.515,1.656,-5.798,19.165,15.625
1.611,1.592,1.718,-23.926,36.194,-3.113
1.549,1.539,1.766,-46.692,58.411,-27.832
1.447,1.437,1.761,-64.880,73.914,-55.786
1.190,1.283,1.635,-71.228,87.708,-82.825
0.969,1.078,1.495,-66.284,88.928,-107.544
0.775,0.847,1.448,-53.284,76.660,-126.526
0.512,0.691,1.443,-37.903,67.444,-135.315
0.232,0.547,1.423,-22.400,67.993,-130.249
0.031,0.463,1.414,-11.841,72.449,-108.826
-0.151,0.495,1.387,-6.531,76.904,-76.172
-0.313,0.537,1.290,-4.333,78.552,-42.908
-0.437,0.598,1.132,-3.357,76.416,-15.381
-0.644,0.672,0.917,-0.305,62.561,3.174
-0.850,0.774,0.769,4.944,43.396,15.442
-0.988,0.882,0.649,14.282,29.541,20.386
-1.144,0.920,0.582,19.836,18.677,18.494
-1.241,0.894,0.544,21.545,10.254,11.719
-1.260,0.814,0.481,21.545,6.592,6.226
-1.274,0.703,0.398,15.381,5.859,6.897
-1.308,0.594,0.387,-0.183,7.874,13.977
-1.291,0.444,0.418,-15.991,10.620,26.978
-1.250,0.402,0.428,-26.733,15.930,45.349
-1.161,0.496,0.405,-29.968,24.658,63.416
-1.046,0.618,0.391,-29.846,28.442,72.754
-0.962,0.689,0.378,-24.597,22.766,68.176
-0.896,0.719,0.345,-12.695,9.888,52.185
-0.816,0.713,0.335,-5.005,-1.099,32.410
-0.812,0.669,0.339,-7.690,-5.554,14.587
-0.780,0.616,0.349,-14.587,-6.531,2.747
-0.716,0.547,0.321,-21.545,-1.831,-1.953
-0.676,0.483,0.265,-29.785,4.761,-2.014
-0.644,0.456,0.288,-40.466,9.155,0.366
-0.578,0.476,0.330,-48.645,13.123,5.432
-0.481,0.524,0.372,-51.331,17.334,9.094
-0.416,0.579,0.435,-47.485,20.081,7.690
-0.364,0.602,0.463,-35.400,19.226,0.244
-0.306,0.601,0.422,-15.198,13.428,-11.169
-0.269,0.591,0.325,6.287,5.554,-23.499
-0.291,0.592,0.238,19.226,-2.625,-32.654
-0.331,0.562,0.186,20.203,-9.827,-35.400
-0.336,0.545,0.222,10.742,-15.320,-31.128
-0.317,0.534,0.299,-4.150,-15.686,-21.729
-0.267,0.522,0.381,-16.968,-12.207,-10.986
-0.205,0.506,0.482,-25.024,-7.996,-3.540
-0.157,0.501,0.575,-25.024,-5.005,0.488
-0.089,0.516,0.628,-14.954,-2.991,0.977
-0.047,0.550,0.610,0.244,-0.183,-2.136
-0.057,0.600,0.552,12.817,3.113,-4.578
-0.078,0.645,0.508,18.066,5.127,-4.883
-0.098,0.672,0.474,17.273,6.531,-2.686
-0.095,0.693,0.467,10.620,7.996,1.648
-0.078,0.702,0.503,1.404,8.179,4.578
-0.069,0.706,0.551,-4.150,7.690,4.944
-0.071,0.689,0.567,-4.150,7.874,3.357
-0.067,0.663,0.566,-0.854,7.080,1.160
-0.072,0.653,0.557,4.211,6.836,0.305
-0.051,0.652,0.550,9.399,6.592,0.732
-0.041,0.648,0.527,12.756,6.104,2.197
-0.034,0.682,0.520,12.451,5.920,4.639
-0.021,0.730,0.544,8.545,6.714,7.629
0.004,0.787,0.587,4.028,8.911,10.071
0.030,0.836,0.613,0.732,11.536,9.644
0.041,0.879,0.630,0.183,12.756,5.371
0.045,0.895,0.636,2.563,11.230,-2.014
0.042,0.849,0.613,4.944,7.568,-9.216
0.035,0.788,0.575,5.615,4.944,-13.489
0.018,0.744,0.552,-1.282,2.441,-12.939
0.022,0.742,0.602,-14.404,3.235,-7.019
0.021,0.833,0.723,-32.104,11.353,3.296
0.013,0.959,0.754,-42.236,23.315,13.000
0.034,1.041,0.675,-39.856,30.273,13.672
0.068,1.005,0.530,-32.043,26.978,3.296
0.148,0.877,0.419,-22.156,16.174,-10.742
0.149,0.770,0.433,-15.381,5.737,-23.926
0.057,0.668,0.489,-14.221,-0.916,-32.288
-0.006,0.615,0.550,-15.076,-3.540,-33.020
-0.024,0.591,0.608,-16.602,-3.296,-25.391
-0.042,0.589,0.640,-17.639,0.488,-12.512
-0.023,0.612,0.659,-16.663,5.920,0.183
0.015,0.652,0.666,-11.841,8.179,8.545
0.053,0.681,0.650,-3.174,6.348,10.132
0.083,0.708,0.633,8.240,3.601,7.629
