aX,aY,aZ,gX,gY,gZ
-2.150,1.615,0.751,102.661,-326.355,-25.574
-2.028,1.404,0.991,119.324,-326.965,-71.777
-1.851,1.207,1.148,136.597,-321.350,-114.502
-1.631,1.044,1.211,155.762,-313.660,-151.550
-1.420,0.888,1.203,176.514,-302.429,-187.073
-1.241,0.759,1.148,197.144,-284.851,-221.680
-1.123,0.650,1.070,216.248,-265.198,-255.432
-0.997,0.541,1.047,231.445,-247.986,-285.095
-0.845,0.456,0.981,235.962,-228.760,-305.542
-0.780,0.392,0.822,234.558,-207.397,-319.214
-0.733,0.305,0.771,221.680,-197.083,-325.073
-0.626,0.184,0.848,199.768,-196.838,-314.880
-0.521,0.149,0.960,182.312,-190.735,-292.969
-0.418,0.230,1.206,171.692,-179.565,-271.606
-0.293,0.354,1.382,173.096,-169.250,-259.644
-0.181,0.437,1.431,180.420,-154.785,-258.728
-0.078,0.417,1.448,171.570,-135.864,-257.202
-0.033,0.319,1.411,140.259,-114.563,-244.385
0.127,0.146,1.428,98.938,-95.581,-220.215
0.431,-0.108,1.611,56.213,-78.552,-192.078
0.692,-0.403,1.835,21.973,-55.786,-171.143
0.787,-0.632,1.914,6.165,-25.330,-160.522
0.763,-0.789,1.878,25.818,4.333,-160.950
0.716,-0.764,1.785,68.848,27.222,-166.321
0.693,-0.574,1.631,111.694,44.800,-167.725
0.676,-0.309,1.367,140.259,59.631,-165.100
0.709,-0.075,1.153,148.621,72.754,-160.767
0.824,0.018,0.968,118.835,77.393,-150.085
0.830,-0.051,0.802,63.660,79.956,-133.606
0.761,-0.245,0.704,15.564,85.815,-119.385
0.748,-0.517,0.756,-4.700,86.548,-105.286
0.819,-0.727,0.777,2.869,74.402,-95.398
0.904,-0.860,0.705,37.537,62.317,-91.492
0.911,-0.906,0.596,76.721,57.373,-89.050
0.952,-0.843,0.427,104.675,55.542,-80.688
1.051,-0.700,0.251,119.446,53.406,-61.218
1.187,-0.470,0.117,114.746,52.185,-35.706
1.253,-0.224,0.098,100.464,54.626,-20.630
1.230,-0.089,0.108,80.688,56.641,-23.865
1.143,-0.054,0.068,54.993,53.711,-36.316
1.089,-0.151,0.003,28.687,45.044,-45.349
1.103,-0.264,0.048,12.207,34.058,-42.480
1.090,-0.340,0.200,3.540,25.574,-31.799
1.089,-0.349,0.339,6.531,20.020,-20.020
1.116,-0.295,0.345,20.935,17.761,-8.850
1.145,-0.206,0.315,36.499,18.066,0.610
1.214,-0.105,0.317,45.471,18.005,9.155
1.311,0.012,0.310,49.316,18.555,12.329
1.380,0.151,0.275,46.936,24.109,10.010
1.371,0.238,0.281,35.400,33.508,2.686
1.183,0.271,0.154,25.574,42.175,-8.789
1.081,0.306,0.011,23.743,46.936,-18.127
1.041,0.316,-0.046,19.592,42.297,-19.714
1.021,0.273,0.021,13.245,28.015,-17.700
1.044,0.218,0.126,10.315,14.160,-14.404
1.094,0.177,0.168,17.700,7.019,-10.925
1.101,0.160,0.182,27.710,5.493,-10.437
1.117,0.146,0.188,32.104,6.226,-10.803
1.126,0.134,0.185,35.034,8.362,-9.644
1.105,0.120,0.180,34.485,11.963,-8.179
1.081,0.101,0.186,29.541,15.991,-7.324
1.059,0.078,0.190,25.024,19.470,-6.226
1.009,0.062,0.168,24.292,22.766,-4.456
0.984,0.079,0.117,24.292,25.146,0.183
0.965,0.114,0.126,21.057,24.597,6.348
0.949,0.176,0.146,15.991,21.790,10.986
0.973,0.223,0.137,23.560,19.775,12.390
0.983,0.250,0.143,28.503,16.968,9.277
0.981,0.239,0.149,29.297,11.353,3.235
0.971,0.207,0.135,33.569,8.057,-1.648
0.964,0.180,0.144,33.936,7.080,-4.028
0.959,0.144,0.174,31.311,6.409,-4.395
0.960,0.123,0.208,27.771,7.141,-3.052
0.960,0.112,0.229,20.569,10.010,0.610
0.952,0.115,0.248,13.123,13.855,4.456
0.942,0.125,0.258,8.179,17.151,7.019
0.913,0.136,0.226,6.958,18.738,8.118
0.906,0.164,0.172,9.399,19.104,9.338
0.922,0.193,0.151,13.062,16.785,10.498
0.938,0.221,0.171,14.832,12.451,10.071
0.954,0.244,0.192,16.113,8.423,6.348
0.954,0.250,0.190,18.982,6.165,-0.122
0.946,0.234,0.182,20.752,5.493,-6.104
0.942,0.206,0.198,20.020,5.249,-10.376
0.943,0.168,0.223,18.677,5.127,-11.963
0.939,0.141,0.228,18.494,5.615,-11.597
0.921,0.122,0.226,16.663,6.653,-9.827
0.917,0.107,0.229,14.771,6.897,-6.836
0.913,0.104,0.232,15.137,6.409,-4.211
0.932,0.119,0.245,16.724,5.615,-2.014
0.941,0.147,0.247,17.761,5.798,-0.488
0.953,0.171,0.242,18.494,6.104,-0.427
0.963,0.193,0.230,18.433,6.592,-0.977
0.959,0.200,0.213,16.296,7.080,-2.075
0.952,0.191,0.211,12.390,7.751,-3.113
0.949,0.176,0.224,8.911,8.057,-3.845
0.944,0.144,0.228,6.836,7.996,-4.700
0.942,0.097,0.221,5.615,8.667,-6.165

-0.007,1.278,-1.419,-50.293,116.211,245.056
-0.135,1.289,-1.541,-45.105,106.201,224.365
-0.206,1.226,-1.704,-34.607,88.928,205.444
-0.336,1.195,-1.813,-34.363,69.641,189.575
-0.448,1.122,-1.860,-46.265,51.331,175.110
-0.561,1.066,-1.902,-58.350,37.354,168.884
-0.729,1.043,-1.920,-77.271,23.621,169.678
-0.988,1.070,-2.044,-106.873,7.874,172.546
-1.278,1.128,-2.181,-115.234,-6.775,176.392
-1.492,1.204,-2.249,-109.009,-29.358,180.359
-1.641,1.249,-2.154,-100.098,-63.782,182.800
-1.812,1.322,-2.035,-93.384,-100.098,182.556
-2.004,1.392,-1.864,-80.994,-134.277,177.673
-2.178,1.516,-1.647,-54.749,-170.166,169.312
-2.406,1.667,-1.378,-30.579,-208.496,157.166
-2.646,1.938,-1.197,1.892,-241.699,138.733
-2.874,2.111,-0.934,26.062,-274.048,116.150
-3.076,2.156,-0.586,38.940,-309.082,90.637
-3.219,2.059,-0.213,50.476,-341.370,65.552
-3.325,1.924,0.263,51.575,-372.131,45.593
-3.429,1.812,0.761,58.350,-399.963,26.184
-3.404,1.679,1.238,83.923,-423.523,0.061
-3.285,1.468,1.671,103.271,-447.327,-33.386
-3.098,1.223,2.019,124.268,-464.111,-73.669
-2.810,0.996,2.226,144.531,-468.689,-112.976
-2.437,0.828,2.378,148.193,-462.830,-142.761
-2.000,0.709,2.500,128.723,-448.242,-161.499
-1.595,0.563,2.509,109.192,-426.880,-180.115
-1.194,0.389,2.466,104.309,-400.757,-209.045
-0.948,0.230,2.273,119.568,-369.934,-244.385
-0.875,0.092,1.885,152.588,-329.834,-276.123
-0.834,-0.071,1.540,176.697,-292.786,-289.307
-0.686,-0.301,1.411,175.598,-266.785,-273.621
-0.583,-0.482,1.332,152.649,-243.408,-234.863
-0.359,-0.548,1.391,110.596,-222.534,-182.373
-0.182,-0.453,1.430,62.927,-206.726,-126.526
-0.066,-0.257,1.407,31.494,-191.467,-85.205
0.037,0.020,1.378,18.433,-179.138,-62.622
0.181,0.343,1.491,11.902,-173.767,-54.260
0.352,0.613,1.518,18.982,-161.682,-58.105
0.537,0.667,1.526,28.137,-142.761,-75.134
0.578,0.499,1.599,34.302,-123.901,-102.539
0.584,0.204,1.697,55.725,-106.567,-129.456
0.653,-0.044,1.717,88.501,-87.952,-141.846
0.707,-0.179,1.653,111.755,-64.270,-137.268
0.670,-0.183,1.594,114.075,-39.124,-122.375
0.644,-0.094,1.529,96.375,-20.081,-100.708
0.640,0.025,1.439,68.848,-6.897,-75.745
0.645,0.152,1.394,40.283,1.404,-55.664
0.707,0.257,1.346,21.484,7.629,-44.434
0.820,0.329,1.310,18.555,13.855,-44.739
0.920,0.306,1.267,26.367,20.142,-56.824
0.897,0.205,1.181,36.743,27.222,-75.623
0.843,0.083,1.102,44.556,33.142,-92.346
0.818,-0.039,1.037,43.884,39.001,-97.534
0.832,-0.193,1.098,36.804,45.715,-88.745
0.895,-0.294,1.166,29.724,49.500,-70.007
0.920,-0.251,1.154,35.461,52.856,-50.537
0.911,-0.106,1.075,48.645,56.885,-36.682
0.924,0.104,0.970,57.922,60.120,-27.893
1.011,0.388,0.857,65.918,61.829,-25.208
1.044,0.605,0.838,70.435,66.772,-33.020
1.023,0.708,0.804,68.909,68.237,-55.481
0.889,0.668,0.651,72.754,70.679,-80.627
0.927,0.444,0.526,67.017,69.092,-92.896
1.012,0.193,0.569,50.171,65.247,-86.975
1.126,-0.005,0.671,42.114,62.439,-74.280
1.185,-0.134,0.702,44.250,61.462,-63.782
1.186,-0.194,0.670,52.673,63.354,-55.847
1.174,-0.161,0.582,60.425,65.491,-47.913
1.169,-0.044,0.456,64.819,66.589,-39.917
1.132,0.091,0.343,58.777,67.993,-35.217
1.102,0.209,0.335,39.917,70.068,-35.522
1.025,0.269,0.297,21.973,71.655,-39.429
0.991,0.332,0.217,18.127,72.021,-43.274
1.001,0.327,0.147,31.494,71.167,-42.969
1.059,0.281,0.179,33.081,64.636,-38.757
1.060,0.227,0.214,41.687,62.073,-33.936
1.029,0.175,0.207,48.035,61.462,-30.640
0.984,0.172,0.145,53.833,61.523,-26.672
0.954,0.229,0.137,56.335,60.730,-20.935
0.985,0.299,0.150,59.814,58.716,-16.357
1.038,0.372,0.154,61.279,57.861,-15.015
1.072,0.413,0.139,55.908,59.937,-17.029
1.077,0.441,0.159,50.476,65.552,-19.226
1.000,0.441,0.176,48.035,70.496,-23.010
0.972,0.437,0.112,38.818,72.449,-27.893
0.922,0.370,0.012,36.011,75.012,-30.518
0.898,0.318,0.003,28.625,72.083,-29.968
0.912,0.271,0.023,23.865,67.322,-25.208
0.915,0.244,0.021,23.987,65.369,-18.860
0.932,0.249,0.022,19.775,61.401,-12.634
0.945,0.283,0.035,21.057,58.899,-6.897
0.966,0.326,0.072,27.405,56.091,-4.456
0.973,0.362,0.082,36.682,54.810,-6.897
0.974,0.382,0.095,40.161,54.749,-15.076
0.931,0.364,0.087,40.344,54.871,-25.574
0.796,0.294,-0.003,41.382,54.138,-34.668
0.750,0.231,-0.097,38.452,50.171,-37.537
0.782,0.172,-0.077,29.602,42.175,-29.297
0.876,0.150,0.025,20.264,33.936,-15.259
0.927,0.158,0.078,17.578,31.189,-4.333
0.948,0.184,0.101,15.625,30.212,2.075
0.958,0.225,0.096,17.029,29.358,4.883
0.923,0.245,0.071,23.132,29.846,3.784
0.933,0.260,0.057,23.865,27.527,-0.305
0.942,0.241,0.067,24.414,22.339,-5.310
0.923,0.198,0.074,24.475,19.409,-9.888
0.907,0.155,0.081,24.109,19.958,-12.695
0.904,0.138,0.074,21.912,21.790,-12.024
0.871,0.130,0.044,17.456,23.743,-8.423
0.861,0.126,0.008,11.902,25.391,-2.930
0.888,0.153,0.002,7.629,25.757,5.005
0.907,0.184,0.033,6.226,23.560,11.292
0.927,0.213,0.072,8.240,20.508,13.306
0.948,0.233,0.074,14.526,18.616,10.376
0.950,0.255,0.057,20.569,17.090,4.333
0.951,0.252,0.028,24.719,14.404,-2.625
0.947,0.234,0.029,26.062,11.169,-8.606

0.422,0.760,-1.671,-28.809,41.870,254.944
0.322,0.989,-1.820,-45.105,40.283,252.197
0.242,1.123,-1.880,-52.429,28.442,240.784
0.225,1.227,-1.865,-50.171,10.681,221.436
0.206,1.241,-1.880,-45.227,1.709,200.195
0.025,1.214,-1.953,-42.358,-3.113,177.673
-0.126,1.078,-2.056,-31.738,-8.423,164.307
-0.230,0.921,-2.151,-18.921,-20.081,162.781
-0.464,0.755,-2.280,-14.404,-37.109,170.349
-0.764,0.562,-2.392,-26.245,-61.646,183.716
-1.138,0.406,-2.455,-45.227,-97.900,206.543
-1.470,0.536,-2.317,-56.274,-147.461,241.577
-1.703,1.014,-1.938,-90.698,-201.538,283.569
-2.020,1.596,-1.276,-106.689,-240.295,305.603
-2.194,2.311,-0.504,-78.125,-268.127,284.973
-2.229,2.838,-0.018,-16.052,-292.542,231.995
-2.352,2.845,0.251,25.513,-312.500,162.781
-2.573,2.561,0.418,28.442,-323.181,111.572
-2.831,2.359,0.689,9.094,-330.933,98.145
-2.854,2.446,1.052,-19.592,-343.201,117.126
-2.891,2.677,1.346,-33.020,-358.948,133.057
-2.837,2.863,1.568,-9.644,-376.648,111.145
-2.619,2.769,1.884,46.387,-398.010,41.077
-2.304,2.369,2.229,110.535,-417.542,-67.078
-1.935,1.877,2.507,185.303,-419.922,-195.312
-1.630,1.384,2.550,264.526,-401.978,-322.693
-1.390,0.849,2.454,324.585,-369.873,-430.847
-1.046,0.289,2.326,328.369,-329.529,-492.249
-0.739,-0.264,2.039,277.344,-280.029,-491.089
-0.578,-0.629,1.817,207.581,-223.022,-441.040
-0.337,-0.756,1.786,147.888,-169.922,-371.826
-0.251,-0.624,1.662,121.277,-124.939,-314.209
-0.158,-0.407,1.508,118.835,-97.290,-280.945
-0.157,-0.263,1.484,112.732,-83.008,-260.620
0.029,-0.067,1.349,85.754,-75.500,-247.437
-0.021,0.042,1.190,60.730,-59.204,-226.624
-0.025,0.056,1.246,30.701,-42.725,-205.261
0.037,0.017,1.291,-3.296,-35.828,-184.021
0.196,-0.075,1.322,-19.165,-21.484,-163.269
0.280,-0.197,1.272,-16.846,-2.380,-150.330
0.372,-0.351,1.175,-1.343,10.254,-144.531
0.550,-0.526,1.044,22.156,17.090,-137.512
0.684,-0.660,0.930,45.654,22.278,-130.615
0.755,-0.781,0.798,54.443,26.917,-122.925
0.790,-0.796,0.727,48.218,29.846,-108.582
0.859,-0.796,0.696,37.964,32.104,-92.041
0.876,-0.784,0.641,25.024,35.461,-76.050
0.901,-0.728,0.621,11.536,37.842,-60.608
1.001,-0.658,0.654,-3.052,38.818,-46.875
1.031,-0.636,0.688,-21.423,40.955,-33.386
1.001,-0.624,0.667,-36.804,44.861,-18.433
1.000,-0.568,0.675,-40.161,47.668,-4.822
1.024,-0.493,0.674,-26.367,46.814,1.465
1.073,-0.434,0.576,1.404,42.236,-3.174
1.095,-0.384,0.416,32.715,37.781,-13.123
1.120,-0.324,0.372,47.974,32.166,-16.663
1.149,-0.261,0.418,48.340,26.367,-10.803
1.187,-0.214,0.480,42.725,23.376,-4.944
1.184,-0.203,0.545,37.170,24.231,-4.822
1.065,-0.223,0.566,26.367,27.832,-8.606
