aX,aY,aZ,gX,gY,gZ
0.241,-0.984,-0.062,-9.338,3.052,11.658
0.256,-0.986,-0.055,-7.751,0.305,12.207
0.257,-0.985,-0.052,-7.202,-1.160,12.512
0.274,-0.987,-0.042,-6.775,-3.418,11.475
0.277,-0.987,-0.025,-8.728,-3.601,10.315
0.261,-0.991,-0.000,-11.841,-3.113,8.667
0.246,-0.990,0.013,-13.672,-2.625,8.179
0.244,-0.986,0.021,-12.512,0.000,9.399
0.238,-0.987,0.046,-6.287,4.700,12.939
0.239,-0.983,0.025,1.343,6.348,15.137
0.253,-0.987,-0.028,2.014,6.470,16.235
0.262,-1.000,-0.005,-1.831,8.179,15.503
0.264,-0.992,-0.012,-0.305,7.935,15.259
0.289,-0.969,-0.040,4.822,5.127,14.648
0.311,-0.945,-0.057,9.460,4.578,12.207
0.310,-0.956,-0.049,11.963,4.456,6.470
0.296,-0.974,-0.051,12.390,2.869,2.197
0.275,-0.974,-0.046,11.108,0.122,1.709
0.263,-0.967,-0.049,10.010,0.977,2.808
0.258,-0.963,-0.048,7.568,2.319,3.784
0.262,-0.969,-0.044,4.639,4.883,4.456
0.272,-0.968,-0.029,1.770,6.470,5.676
0.284,-0.965,-0.019,0.183,5.188,6.897
0.298,-0.960,-0.011,0.244,2.258,7.507
0.310,-0.951,-0.000,1.099,-1.099,7.202
0.316,-0.957,-0.004,3.296,-3.662,6.104
0.318,-0.962,-0.015,5.127,-4.639,4.089
0.319,-0.965,-0.027,5.676,-3.540,2.380
0.314,-0.967,-0.037,4.944,-1.038,0.977
0.300,-0.971,-0.045,4.089,1.282,-0.122
0.292,-0.974,-0.047,3.418,2.380,-0.305
0.284,-0.969,-0.063,2.869,2.747,-0.061
0.282,-0.976,-0.068,2.441,2.686,0.977
0.280,-0.974,-0.063,1.404,1.953,2.625
0.285,-0.977,-0.058,1.221,0.488,3.479
0.295,-0.976,-0.046,0.854,-0.671,4.211
0.300,-0.974,-0.032,0.122,-1.526,3.906
0.305,-0.971,-0.021,0.122,-2.136,3.113
0.300,-0.975,-0.016,0.244,-2.014,2.136
0.295,-0.978,-0.012,-0.061,-1.160,1.404
0.289,-0.980,-0.008,0.061,-0.183,0.977
0.290,-0.981,-0.003,0.488,0.000,1.404

0.869,0.241,1.694,59.814,-71.594,-49.133
0.891,0.237,1.836,73.975,-96.313,-62.012
0.845,0.157,1.927,90.393,-118.469,-76.477
0.743,0.003,1.981,107.727,-131.592,-85.876
0.618,-0.106,2.060,122.864,-131.470,-84.839
0.510,-0.216,2.067,134.338,-116.638,-71.777
0.467,-0.229,2.056,144.165,-87.524,-49.011
0.465,-0.176,2.032,153.870,-51.270,-23.560
0.467,-0.085,1.990,162.537,-17.578,-3.662
0.494,0.024,1.926,173.462,5.798,8.606
0.513,0.156,1.884,183.594,17.578,12.695
0.535,0.238,1.886,190.979,20.020,8.728
0.543,0.297,1.955,194.458,14.832,1.099
0.503,0.318,2.042,195.557,4.395,-6.287
0.434,0.320,2.109,201.111,-2.869,-12.085
0.353,0.328,2.141,211.365,-0.854,-14.526
0.273,0.338,2.137,224.670,9.644,-11.963
0.201,0.364,2.090,236.328,25.574,-5.432
0.151,0.406,2.024,245.117,46.326,2.014
0.110,0.451,1.930,253.601,68.359,9.644
0.087,0.507,1.809,262.085,87.097,14.648
0.104,0.588,1.677,268.738,99.243,15.808
0.118,0.647,1.525,270.996,105.347,9.399
0.115,0.663,1.396,271.912,110.840,-3.601
0.093,0.632,1.278,271.545,116.272,-18.372
0.021,0.592,1.164,268.677,120.667,-29.846
-0.045,0.549,1.035,266.174,124.390,-33.203
-0.116,0.515,0.906,264.709,131.836,-29.724
-0.162,0.472,0.776,264.709,142.578,-21.362
-0.215,0.448,0.647,264.221,153.992,-10.315
-0.224,0.455,0.511,263.245,167.358,0.732
-0.187,0.492,0.400,258.301,184.448,8.545
-0.164,0.488,0.296,249.634,202.454,8.240
-0.167,0.438,0.166,243.286,210.937,1.709
-0.141,0.412,-0.017,240.295,206.299,-6.104
-0.142,0.361,-0.195,238.281,190.247,-17.578
-0.137,0.295,-0.394,237.427,165.771,-30.518
-0.127,0.239,-0.571,234.070,136.108,-40.649
-0.106,0.169,-0.710,229.004,103.882,-48.157
-0.090,0.100,-0.834,224.121,68.115,-54.565
-0.072,0.048,-0.941,216.187,37.537,-60.364
-0.090,-0.051,-1.022,203.430,18.738,-66.528
-0.140,-0.178,-1.109,186.279,10.437,-68.604
-0.161,-0.276,-1.183,167.908,12.207,-62.988
-0.184,-0.369,-1.272,149.170,17.395,-53.040
-0.182,-0.430,-1.355,134.338,23.193,-41.870
-0.135,-0.469,-1.420,119.080,25.574,-31.372
-0.064,-0.500,-1.445,102.051,23.254,-23.926
0.028,-0.506,-1.421,85.632,17.151,-18.799
0.141,-0.524,-1.364,69.275,5.920,-16.296
0.282,-0.512,-1.237,51.697,-10.681,-16.235
0.393,-0.530,-1.054,35.583,-33.630,-21.301
